제목,답변상태,작성일,담당부서,작성내용,답변내용
감천2동 소규모 주차장 조성공사,답변완료,2024-08-26 11:54:02,교통환경국 교통행정과,"안녕하세요감천2동 공영주차장 조성관련(감천로117번길 77-1)공영주차장 조성공사 진행전 주위건물 철거하면서 소음및분진 발생하였으나많은 양보로 공사를 진행하였습니다차후 진행과정에서 몇가지 부분 협의후 하기로 해놓고 막무가내식 공사를 진행하려고 합니까?아래와같은 이유로 본 민원을 신청합니다1.공사전 사전통보 없이 공사인력 및 장비투입 하여 불안감 조성2.예산부족으로 본사유지 조성사업에 포함되지 못하였으면 상부도로 연결통로 확보할것(설계도면 공개 및 주거지 주민 에게 상세 설명필요)3.공사과정 사유지 점용할시 협의후 공사진행할것4.공사과정 소음,분진,균열,붕괴위험,옹벽누수 발생시 합당한 보상할것(철거과정 에서 본사유지를 이용하였으며 그리고 피해가 있었으나 아무런 보상도 없었음)5.예산확충하여 본 주거지 조성사업에 포함되길 바랬건만 안타까울 따름입니다**** 위 내용 협의전까지 공사중단 요청합니다********공사장비 및 공사인력 투입되었으니 빠른답변 부탁드립니다****","1. 안녕하십니까? 평소 우리 구정 업무에 관심을 가져주셔서 감사드리며, 귀하께서 신청하신 민원(접수번호 202408261154028901)에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “감천2동 소규모 공용주차장 조성공사 관련 설명 요청 등”에 관한 사항으로 판단됩니다.3. 귀하의 민원에 대한 검토결과는 다음과 같습니다.가. 해당 지역은 고지대 주택 밀집 지역으로 좁은 이면도로에 설치된 주거지 주차장으로 인하여 어린이 및 주민들의 보행에 불편을 겪고 있는 지역으로, 우리구에서는 주거지 주차장을 폐지하고 어린이 통학 및 주민 보행환경을 개선하고자 “감천2동 소규모 공영주차장 조성공사”를 2024.7.19. 착공하여 추진하고 있습니다.나. 공영주차장 조성 사업 시 해당지역 일대 주차수요를 맞추어 조성 계획을 수립하였으며, 예산 및 주차장 조성 규모가 한정되어 있어 귀하의 토지가 주차장 조성 사업에 포함되지 않은 점 양해의 말씀드립니다.다. 공사 진행 과정 및 시행 방법에 대한 설명이 필요할 경우 추후 일정을 맞추어 상세히 설명드리도록 하겠으며, 지적경계복원측량 등을 통해 토지(사유지)와의 경계를 우선 확인하도록 하고, 추후 사유지 점용이 수반될 경우에는 협의 후 공사를 시행하겠으며,라. 상부도로 연결통로 확보에 관한 사항은 주차장 하부 공간 및 인접 이면도로를 활용하여 상부 도로로 연결될 수 있도록 적극 검토하겠습니다.마. 아울러, 공사 시행 시 귀하의 민원 사항(소음, 분진 균열 등)이 최소화 될 수 있도록 공사 현장 안전 조치를 철저히 하고 관련 법령을 준수하여 시행하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며 답변 내용에 대한 추가 설명이 필요한 경우, 공사 시행과 관련한 사항은 사하구 교통행정과 김일희(☏051-220-0192), 주차장 수용 및 조성 계획에 관한 사항은 사하구 주차관리과 박미현(☏051-220-4512)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  민원내용 1부.  끝."
다대포공원 돌다리말입니다,답변완료,2024-08-26 09:49:40,안전도시국 도시정비과,저번주 금요일(23일)  저녁 분수쇼 보러가려고  주차를했습니다주차를하고 걸어가는길에 마주편쪽에 플리마켓같은것을 하더라구요가보려고 돌다리로 걸어가려고하는데 3번째돌쯔음 딛는동시에미끄러져서 다리가 돌에 다쓸리면서 물에 빠졌습니다너무 아프고 피도 너무 나고해서 그당시엔 사진을 못찍었는데돌에 진흙이 가득차 너무 미끄러웠습니다돌다리쪽엔 불도하나 비치고 있지않아서 돌의 상태가 어떤지 보이지도않습니다누구라도 충분히 미끄러질만한 곳입니다 통행금지표지가 있어야할곳에그런표지판이 하나없다뇨...지금 저는 제대로 걷지도 못하고 있습니다다리상태는 사진으로 올려놓겠습니다※ 첨부파일 :20240823_213336.jpg20240823_213327.jpg,"1. 평소 구정 발전에 관심을 가져 주셔서 감사합니다.2. 귀하께서 신고하신 해수천 내 징검다리 관련으로 불편을 겪으신 점 송구스럽게 생각하며, 현재 징검다리 미끄럼주의 표지판이 설치되어 있지만, 이용자의 안전을 위해 안내표지판 추가 설치 등 다각적으로 검토하겠습니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 기타 궁금하신 사항은 도시정비과(☎220-4721)로 문의하시면 성심껏 답변 드리겠습니다. 감사합니다.  끝."
을숙도 어도관람실 관련,이송이첩,2024-08-26 17:45:48,없음,"업무에 노고 많으십니다.담당자님.저는 금주에 을숙도에 위치한 어도관람실을 방문하였습니다.하지만, 첨부 사진과 같이 이끼로 인하여 강 내부를 전혀 볼 수 없었습니다.관련하여 실제 강 내부 어류를 볼 수 있도록 이끼 청소가 가능한지 확인 부탁 드립니다.아울러, 을숙도 어도관람실에 대한 광고가 부족한 것 같습니다.제가 을숙도 주위에 10년을 살았지만 최근에 어도관람실이 있다는 사실을 알고 처음 방문하였습니다.시설에 대하여 홈페이지 등에 광고를 하면 어떨지 문의 드립니다.정리하면 아래 2가지 사항에 대한 가능 여부 회신 부탁 드립니다.감사합니다.첨부 - 어도관람실 사진- 아 래 -1. 을숙도 어도관람실 외부 유리창 이끼 제거 (실제 물고기가 있어도 이끼로 인해 확인 불가)2. 어도관람실 홈피 내 소개 (참고로, 서포터즈 블로그에 어도관람실 소개글이 있음은 확인)※ 첨부파일 :어도관람실_20240826_173255212.jpg",없음
관음사 위 황토길 보수 관리?,답변완료,2024-08-25 23:45:11,교통환경국 산림녹지과,"날은 참 덥지만, 아침에 오랜만에 당리동 관음사 위의 황토길을 걸어 봤습니다.단 한 사람이 황토길 아랫길을 왕복해서 걷고 있더군요.저는 용기를 내어 처음부터 끝까지 황토길을 걸었지요.처음에는 시작부터 끝까지 걸었지만, 황토가 거의 씻겨 나간 250보 정도 구간(사진, 황토길 2)은 걷기가 너무 힘들더군요.아파서 그 구간은 포기하고, 대신 걸을 만한 200~240보 구간(사진, 황토길 1)만 왕복해서 대여섯 번 걷다가 왔어요.부탁 드립니다지금은 좀 더워서 그렇지만, 조만간...황토가 거의 없는 황토길 2구간(제 사진)을 보수 관리해 주시면 좋겠습니다어싱(땅 밟기) 좋다는데, 사하구 황토길도 참 좋은데 말입니다미리, 고맙습니다※ 첨부파일 :[크기변환]황토길1.jpg황토길2.jpg","1. 우리구 녹지행정 발전에 관심을 가져주신 데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 승학산 황톳길 보수·관리나. 답변요지○ 귀하께서 요청하신 승학산 황톳길 보수·관리와 관련하여 9월중 황톳길 보수사업 진행 예정임을 알려드립니니다.○ 최근 산림 내 정비 요청 민원이 증가함에 따라 민원 해소를 위하여 순차적으로 정비 시행 중이오니 기간이 다소 소요되더라도 너그러이 양해해 주시기를 바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 산림녹지과(☎220-4545)로 연락주시면 성실히 안내드리겠습니다. 감사합니다.붙임  상담민원(관음사 위 황토길 보수관리) 1부.  끝."
하단동 1162(스타벅스 옆 우회전구간) 고정형 주정차 단속 카메라 설치 요청,답변완료,2024-08-25 10:20:32,교통환경국 주차관리과,"안녕하십니까 하단2동 주민입니다. 항상 사하구를 위해 힘써주시는 공무원분들께 감사드립니다.해당 민원은 사하구청 교통부서에 신청드립니다.도로 사진 및 카메라 사진은 첨부파일 참고 부탁드립니다.출근 시간대 하단동 1162(스타벅스 옆 우회전 진입구간)에 트레일러나 특장차인 불법주정차가 많아 우회전 진입구간이 짧아져 항상 해당구간 우회전 진입 시 위험한 상황이 많이 발생하고 있습니다.이에 저도 과거에 구청 당직실에 불법주정차 단속을 요청한 적이 있습니다만, 아무래도 물리적으로 제한이 있는 것을 잘 알고 있습니다.그래서 하단우체국 앞과 하단오거리 다이소 앞에 설치 된 고정형 불법카메라를 해당 구간을 촬영할 수 있게 설치해주시어 불법주정차주에게 과태료 경고 문자가 자동으로 갈 수 있도록 하여 해당 구간 우회전 진입 차량의 위험부담을 줄여주셨으면 합니다.※ 첨부파일 :카메라.jpg도로사진.jpg카메라2.jpg","1. 귀하께서 신청하신 민원에 대한 검토결과를 아래와 같이 알려드립니다.2. 귀하의 민원내용은 “불법주정차 고정형 CCTV 이전”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.- 이전 설치를 요청하신 고정형 CCTV 중 하단우체국 맞은편 CCTV은 상가 밀집지역 삼거리에 위치하고 있어 이전은 불가하며, 하단역 일원 고정형 CCTV는 2025년타 구역 재배치 예정입니다.- 건의하신 구역의 불법주정차 문제에 대해 인지하고 있으며, 해당구역에 단기적으로불법주정차 CCTV 설치 및 이전 설치는 불가하나 장기적으로 설치를 검토하도록하겠습니다.- 또한 고정형 CCTV 설치 전까지는 타 구역과 함께 이동식 단속 차량을 통해 주차단속을 실시하도록 하겠으며, 불법주차로 인한 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이필요한 경우 주차관리과로 문의하시면 성심껏 답변 드리겠습니다.붙임  1. 2024년8월27일-a0-민원상담목록번호232666.2. 카메라.3. 도로사진.4. 카메라2.  끝."
내리막길에서 도로 진입시 사고 위험이 있습니다.,답변완료,2024-08-24 16:25:20,교통환경국 교통행정과,사하구 신산북로 33번길 내리막길에서 큰도로 진입시 좌우 시야 확보가 안되어서 사고 위험이 많습니다.좌우 시야를 확보하기 위해서는 차량이 도로쪽으로 진입해야만 가능합니다.문제 해결을 위해서는 건너편에 반사경 설치를 해주셨으면 감사하겠습니다.사고 방지를 위해서 사하구청에서 빠른 답변과 조치 부탁드립니다.,"1. 안녕하십니까? 평소 우리 구정 업무에 관심을 가져주셔서 감사드리며, 귀하께서 신청하신 민원(신청번호 202408241625208714)에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “신산북로 33 일원 반사경 설치 요청”에 관한 사항으로 판단되며, 반사경 설치가 가능한 구간을 검토하여 조속히 조치하도록 하겠습니다.3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 교통행정과 김일희 주무관(☏051-220-0192)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  민원내용 1부.  끝."
승학산 공원 운동시설 주변 청소,답변완료,2024-08-24 11:59:20,교통환경국 산림녹지과,유난히 무더운 올해 공무에 수고가 많으십니다언제나 사하구를 사랑하는 주민입니다승학산을 사랑하여 매일 산보하고 지켜보는 주민입니다승학산을 오르다 보면 무학사 절 앞의 테크가 많이 손상되어 있음을 볼 수 있습니다 발판의 미끄럼 방지 판도 많이 떨어져 있고요 하루빨리 수리 부탁드립니다 그 위쪽에 운동하는 공간이 있습니다 많은 사하구 구민들이 사랑하는 공간입니다얼마전에 좋은 운동기구를 추가 설치하여 주심에 감사드립니다그런데 수풀이 우거져 운동에 많은 도움이 됩니다만 비나 바람이 온 후에 낙엽이 떨어져 많이 쌓여 있음을 볼 수 있습니다. 자주 청소해 주셨으면 감사하겠습니다 물론 사용하는 이들이 힘을 모아 청소해야겠지요 그런데 사용자들이 자주오시는 분도 계시지만 잠시 왔다가시는 분들이 많고 노약자들이 특히 많습니다 청소도구도 많이 부족합니다 구청 차원에서 도와주시면 감사하겠습니다고충을 한가지 더 말씀 드리겠습니다 그 바로 위에 있는 족구장 사용자들에 관련된 것입니다 족구  후 꼭 담배를 많이 피웁니다 바로 아래 운동하면 그 연기가 그대로 흘러 내립니다 꼭 좀 단속부탁드립니다,"1. 우리구 산림행정 발전에 관심을 가져주신 데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 승학산 제석골 산림공원 주변 관리나. 답변요지○ 귀하께서 요청하신 승학산 공원 운동시설 일원 정비와 관련하여 빠른 시일 내에 (9월 중) 현장 확인하여 제초와 시설물 정비 진행하도록 하겠으며,○ 해당 운동시설(족구장 등)은 타부서 소관으로 해당 부서에 관련 민원 안내하겠습니다.○ 최근 산림 내 정비 요청 민원이 증가함에 따라 민원 해소를 위하여 순차적으로 정비 시행 중이오니 기간이 다소 소요되더라도 너그러이 양해해 주시기를 바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 산림녹지과(☎220-4545)로 연락주시면 성실히 안내드리겠습니다. 감사합니다.붙임  2024년9월2일-a0-민원상담목록번호232565 1부.  끝."
신산북로 33번길 내리막길 반사경 설치 요망합니다,답변완료,2024-08-24 09:12:16,교통환경국 교통행정과,차량통행이 많이 생긴 길에 반사경 설치가 되어있으면 정말 좋겠습니다.신산북로 33번길 내리막길 차량 진출시 좌우측 시야 확보가 매우 어렵습니다.경사가 극심하고 사람들도 통행하는 길이기 때문에 사고 우려가 상당히 높다고 생각합니다.반사경 하나만 설치되어도 통행하는데 정말 큰 도움이 될 것 같습니다.부디 구청에서 반사경 설치를 적극 지원해주시면 감사하겠습니다.,"1. 안녕하십니까? 평소 우리 구정 업무에 관심을 가져주셔서 감사드리며, 귀하께서 신청하신 민원(신청번호 202408240912168663)에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “신산북로 33 일원 반사경 설치 요청”에 관한 사항으로 판단되며, 반사경 설치가 가능한 구간을 검토하여 조속히 조치하도록 하겠습니다.3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 교통행정과 김일희 주무관(☏051-220-0192)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  민원내용 1부.  끝."
사하구 5번 마을버스 출근 아침배차.약한 에어컨,답변완료,2024-08-23 21:26:38,교통환경국 교통행정과,아침6시부터  8시까지 출근 시간 괴정에서  무지개 공단내 아침 출근시간 너무 복잡합니다.공단내 8시까지 출근인데  앞차 앞차 하다가 6시35분에도 겨우 끼어서 타고 있어요.사람도 많은데 에어컨도 시원찮고 아침이라도 차량을 늘려주세요.작은버스  1시간에  두번 운행 콩나물시루처럼 빽빽히겨울에는 더 복잡합니다. 오뎅공장. 무지개 공단내  근로자가 얼마나 많은데아침이라도 마을버스 자주 오게 해주세요. 냄새나는 공단 걸어다닐수도 없고 ㅠㅠ,"1. 평소 우리 구정에 대한 협조와 관심에 깊이 감사드립니다. 귀하께서 신청하신 민원(접수번호 202408232126388612)에 대한 검토결과를 다음과 같이 알려드립니다2. 귀하의 민원내용은 마을버스(사하구 5번) 이용불편에 관한 것으로 이해됩니다.3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.- 먼저 대중교통 이용에 불편을 드린 점에 대해 사과의 말씀을 드립니다.- 해당 민원내용을 사하구 5번 마을버스 운송업체인 (주)하나교통에 전달하여「여객자동차 운수사업법 제21조(운송사업자의 준수 사항)」에 대해 교육을 실시하고, 마을버스 증차 및 배차간격 단축방안에 대해 모색하도록 하겠습니다.- 더불어 귀하가 겪으신 불편사항이 반복되지 않도록 지속적으로 계도하여 주민을 위한 대중교통이 될 수 있도록 하겠습니다.붙임 : 2024년9월2일-a0-민원상담목록번호232496.  끝."
사하구 국민체육센터 운영 조례 일부개정조례안 관련 향후 운영방안 문의,답변완료,2024-08-23 11:38:06,자치행정국 체육홍보과,"1. 민원업무에 수고가 많으십니다.2. 접수번호 202310261144454641 , 2023년 10월 26일 사하구국민체육센터 헬스장 이용 관련 문의 민원 관련입니다.3. 2024년 8월 21일 예고된 표제의 [부산광역시 사하구 국민체육센터 설치 및 운영 조례  일부개정조례안] 통과 시 국민체육센터 사용료 전체적 인상과 사용료 감면율 정비(주요 이용층인 주민 감면율의 30에서 20로 축소)로 선행민원의 답변인 추후 사용료 인상이나 해당 서비스 유료화 등을 통해 서비스 재개가 가능한 여건이 조성되면 시행할 수 있도록 노력하겠습니다.의 여건이 충족됨으로 보입니다.4. 이에 선행민원의 답변을 고려하여 헬스복 및 수건 지급 서비스 재개 계획에 대하여 확인을 요청드립니다. 감사합니다.","1. 안녕하십니까? 평소 구정 발전에 많은 관심 가져 주셔서 감사드립니다.2. 귀하의 민원 내용은 ‘헬스복 및 수건 지급 서비스 재개 계획에 대한 확인요청’으로 이해됩니다.3. 「부산광역시 사하구 국민체육센터 설치 및 운영 조례 일부개정조례안」의 사용료 인상과 감면규정 정비는 최근 3년간 급격한 공공요금 인상으로 인한 운영난을 해소하기 위해 최소한의 인상율을 반영하여 입법예고중인 사안으로,4. 귀하께서 제안하신 내용에 대해서는 개정조례 시행 후 실제 운영 개선 여부 및 운영수지, 시설 이용 주민의 수요 등을 종합적으로 파악하여 검토하도록 하겠습니다.5. 추가 궁금하신 내용은 사하구 체육홍보과(☎051-220-5852)로 연락하여 주시면 상세히 답변 드리겠습니다. 감사합니다."
안전사고 예방차 언덕길 평탄화 요청 건,답변완료,2024-08-23 09:01:09,안전도시국 건설과,"안녕하세요, 2025년 1월 준공 예정인 하단동 사하삼정그린코아더시티 예비 입주민입니다.표제 건 관련, 제가 첨부의 네이버 지도 스크린샷에 표시해둔 것 처럼저희 아파트와 다전그린아파트 사이의 언덕길이 평탄화가 되어 있지 못하여 여러 안전사고가 우려됩니다.사진으로 보면 해당 언덕길이 가파르게 보이지 않으나, 현장을 직접 걸어보면 굉장히 가파르고 평탄화가 되어 있지 못해 더 힘이 드는 상황입니다.입주 전 평탄화 작업이 이뤄지면 좋을 것으로 보이는데, 안전사고 예방을 위해, 바쁘시겠지만 긍정적인 검토 부탁 드립니다.※ 첨부파일 :현장사진_낙동대로486번길.jpg네이버지도스크린샷_240823.png","1. 귀하의 가정에 건강과 행복이 가득하길 기원합니다.2. 귀하께서 건의하신 ‘낙동대로486번길 일원 도로 평탄화 요청’ 민원건에 대하여 다음과 같이 답변드리오니, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 정종인(☎220-4695) 주무관에게 문의하여 주시면 성심껏 답변드리겠습니다. 감사합니다.▣ 민원개요- 민 원 인 : 김**- 민원내용 : 낙동대로486번길 일원 도로 평탄화 요청▣ 답변내용- 건의하신 도로구간 평탄화의 경우 시․종점부가 고정 되어있는 지역 여건으로 주변 구역을 포함한 재개발 사업 등 장기적인 도시계획수립이 우선되어야 하는 사항으로 현재는 조치가 어려운점 양해하여 주시기 바랍니다.붙임 1. 상담민원 1부.2. 위치도 및 현장사진 1부.  끝."
불법주정차 대책 마련 요청 건,답변완료,2024-08-23 09:09:15,교통환경국 주차관리과,"안녕하세요, 2025년 1월 입주예정인 사하 삼정그린코아더시티 예비 입주민 입니다.잘 아시다시피, 본 현장의 주 출입구는 승학로 3번길입니다.그러나, 제가 표시해둔 승학로 3번길은 불법주차가 성행되고 있는 곳이며, 입주뒤에는 불법주정차가 많은 교통체증과 혼란을 야기할 것으로 생각됩니다.이에, 해당 구간에 대한 불법주정차 방지를 위한 대책을 마련해주시면 정말 감사하겠습니다.감사합니다.※ 첨부파일 :승학로3번길_240823.png","1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “하단 삼정그린코 공사현장 주변불법주정차 단속요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 불법주차로 불편을 겪으신 점 송구스럽게 생각합니다.나. 해당 지역에 대하여는 이동식 단속 차량을 이용하여 주차단속을 하고 있으나, 주차단속업무의 특성상 단속 당시에만 효과가 있어 단속에 애로사항이 많은 점 넓은 마음으로 이해하여 주시기 바랍니다.다. 해당 지역에 대해서는 이동식 단속차량을 통한 주차계도 및 단속을 실시하여 불법주차로 인한 귀하의 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(이성훈, ☎220-4562)로 문의하시면 성심껏 답변 드리겠습니다."
아미산 노을마루길 제초작업,답변완료,2024-08-22 12:51:12,교통환경국 산림녹지과,아미산 노을마루길 제초작업좀 부탁드립니다아미산 전망대 밑에 공원은 2주전에 하시다ㆍ중단을 하셨는데ㆍ아마도 더위 때문이 아닌가 싶어서죄송한 마음도 있지만ㆍ사람이 다닐수가 없어서 사진과 건의 드립니다？조속히 부탁 드립니다？고맙습니다？※ 첨부파일 :20240822_080750.jpg,1. 우리구정 발전과 공원업무에 관심을 가져주셔서 감사드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 아미산 노을마루길 제초작업나. 답변요지○ 귀하께서 말씀하신 아미산 노을마루길 제초작업은 9월 첫째주까지 작업완료할 예정입니다.3. 기타 궁금하신 사항은 사하구 산림녹지과(☎220-4525)로 연락주시면 성실히 답변해 드리겠습니다. 감사합니다.  끝.
다대도서관 2층 어린이실에서 부모님들이 너무 떠드시네요!!,답변완료,2024-08-21 16:14:08,도서관,어린이실이 들락날락 이기 때문에 어쩔수 없는 조금은 시끄러움은 당연하다 생각하고 이용하고 있습니다.그런데 아이를 수업에 들여 보내놓고 기다리는 어머님여러명이너~~~~무 시끄럽습니다.여기가 카페도 아니고 너무 이야기를 시끄럽게 많이 하십니다책읽던 아이도 인상을쓰며 시끄럽다 합니다사서 선생님들도 딱히 주의를 주시지도 않고떠드는 소음에 이어폰을 꼈음에도 소리 다들립니다.그렇게 할 이야기가 많으시면 카페를 가셔야 되는거 아닙니까???관리가 필요합니다,"1. 다대도서관 이용시설에 관심을 가져주셔서 감사드리며, 귀하께서 요청하신 내용에    대하여 다음과 같이 답변 드립니다.2. 귀하의 민원내용은 “어린이복합문화공간 소음 문제”에 관한 것으로 이해됩니다.3. 먼저 어린이복합문화공간 소음 문제로 이용에 불편함을 드려 대단히 죄송합니다.    귀하의 요청사항에 대한 답변은 다음과 같습니다.- 들락날락 프로그램의 수강생 보호자 분들께 주변의 도서관 이용객들이 방해를 받을 수있는 지나친 대화는 자중해야 함을 안내하겠습니다.- 또한 자료실 직원들에게 자체교육을 실시하여 아이들이 책을 읽기에 쾌적한 환경이   조성될 수 있도록 노력하겠습니다.4. 소중한 의견 감사드리며, 기타 궁금하신 사항에 대해서는 다대도서관 최윤영 주무관   (☎220-5874)으로 연락 주시면 친절히 안내해 드리겠습니다. 감사합니다.붙임  1. 2024년08월22일-a0-민원상담목록번호232156."
？？생활이익이 침해 될 수준인 포스코 소음!,답변완료,2024-08-21 11:49:23,교통환경국 환경위생과,"베란다 창문를 닫고 데시벨 측정시, 평균 75를 윗도네요실내에서 옆사람과 대화가 불가능 할 정도입니다이 정도면 생활이익이 침해될 수준인 수인불가 소음이라 사료됩니다민원 제기를 했더니, 제 역할도 못하는 메트벽을 세워놓고는방음벽을 설치했다며 본분을 다 한 것처럼면피를 하는 건설사측의 태도에 주민들의 인내심마저 바닥나게 하네요.본인들의 1차 조치에도 민원이 넘쳐난다면대책을 세워 2차 조치를 해야 되는게 아닐까요?어차피 해야 될 공사, 자체를 중단하라는 뜻이 아닙니다생활이익을 침해할 수준의 소음 피해를 보는주민들의 입장을 고려하여 대책방안을 재검토할 필요가 있어보입니다.","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “부산 당리승학 지역주택조합 공동주택 신축공사 소음으로 인한 불편사항”에관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.- 현장확인 결과 지반조성작업 중 천공기, 브레이커 사용 등으로 인한 소음발생 확인하였습니다.- 타 민원인 거주지 방문하여 소음 측정한 결과 생활소음규제기준 초과[71dB(A)기준 65dB(A)]에 따른행정처분 및 과태료 부과 하고자 하며,- 민원인의 불편사항을 현장관계자에게 전달하여 고소음 작업 시 기계장비 분산 사용, 방음시설 보완 등 소음 최소화 할 수 있는 방안 마련하여 공사장 소음관리 철저토록 행정지도 하였습니다.4. 기타 궁금한 사항이 있을 경우, 사하구 환경위생과 이상근 주무관(☏051-220-4397)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
*포스코 건설 소음영상,답변완료,2024-08-21 11:58:57,교통환경국 환경위생과,앞으로 수시 기록 예정입니다※ 첨부파일 :_talkv_wv6aCF7KS7_3LAAoFf4O3HLuQuFBcYGr1_talkv_high.mov,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “부산 당리승학 지역주택조합 공동주택 신축공사 소음으로 인한 불편사항”에관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.- 현장확인 결과 지반조성작업 중 천공기, 브레이커 사용 등으로 인한 소음발생 확인하였습니다.- 타 민원인 거주지 방문하여 소음 측정한 결과 생활소음규제기준 초과[71dB(A)기준 65dB(A)]에 따른행정처분 및 과태료 부과 하고자 하며,- 민원인의 불편사항을 현장관계자에게 전달하여 고소음 작업 시 기계장비 분산 사용, 방음시설 보완 등 소음 최소화 할 수 있는 방안 마련하여 공사장 소음관리 철저토록 행정지도 하였습니다.4. 기타 궁금한 사항이 있을 경우, 사하구 환경위생과 이상근 주무관(☏051-220-4397)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
미혼남녀 만남의날에 대해 질문드립니다.,답변완료,2024-08-21 23:16:32,주민복지국 가족행복과,"https:news.kbs.co.krnewspcviewview.do?ncd=7995530위와 같이, 인터넷에는 기사가 나와 있는데사하구청 홈페이지에는 그 어떤 곳에서도 관련 정보를 찾을 수가 없네요.검색으로도 안 나옵니다.소문만 무성한건가요?계획이 진행 중인건지, 이미 마감이 된건지 아니면 진짜로 10월에 진행하실 건지 현재 상황을 알고 싶습니다.","1. 귀하의 가정에 행복을 기원합니다.2. 귀하의 민원 내용은 “미혼남녀 만남의 날 「두근구근 사하 브릿지」신청 문의”에      관한 내용으로 이해됩니다.3. 우리 구 에서는 미혼남녀 만남의 날 「두근구근 사하 브릿지」행사를 올해 11월 9일(토)     ~ 11월 10일(일) 개최 예정으로, 기타 신청기간 및 신청방법 등은 9월 초 사하구청       홈페이지에 공고 예정이니 참고하시기 바랍니다.4. 기타 궁금하신 사항은 사하구 가족행복과 구은경(☎051-220-5614)에게 연락주시면     성심껏 답변드리겠습니다. 감사합니다.붙임  1. 2024년8월23일-a0-민원상담목록번호232212.  끝."
