제목,작성일,답변상태,담당부서,민원내용,답변내용
반송골목시장 주말 아케이드 공사 소음신고,2023-11-25,답변완료,교통환경국 환경위생과,"평일은 아침부터 공사를 해도 집에 없으니 그려려니 하는데 평일에 힘들게 일하고 주말 이른 아침부터 공사 소리때문에 잠에서 깼습니다
아무리 그래도 주말인데 소음때문에 늦잠을 잘수도 없고 공사가 급할수도 있다는건 이해를 합니다 근데 급하다고 주변 시민은 신경도 안쓰고
이렇게 공사를 하는건 좀 아니라고 생각합니다 주말에 공사는 중단 시켜달라는건 아닙니다.
주말에는 공사 시작시간은 너무 이른 아침이 아니라 조금이라고 미뤄주시면 안되겠습니까?","1. 안녕하십니까? 귀하께서 신청하신 민원(접수번호202311250851451894)에 대한 조치사항을 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 반송동 250-410, 반송골목시장 아케이드 설치 공사 주말 이른 시간 공사소음 피해에 관한 것으로 판단됩니다.
3. 민원 사항에 대하여 현장 확인 시 25일 경 철골 및 발판작업 을 하면서 소음이 발생하였음을 확인하였으며, 해당 공정은 종료 되었으나 향후 소음 발생 작업 시 주말 이른 시간은 지양토록 관계 부서(일자리경제과)에 전달하였습니다.
4. 아울러 공사 일정 등에 대한 자세한 사항은 해운대구청 일자리경제과(☏051-749-4472)로 문의하여 주시기 바랍니다.
5. 향후에도 지속적인 환경순찰 실시 등으로 주민들의 불편이 최소화 되도록 노력하겠으며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과(☏051-749-4395)로 문의하여 주시면 성실히 답변 드리겠습니다. 감사합니다."
해운대 블루라인 파크 옆 산책길 공사현황.. 이해가 되지 않습니다 (사진첨부),2023-11-25,답변완료,문화관광경제국 해양진흥과,"블루라인 파크 옆 산책길 다시 차단한다고 해서 한말씀 또 드립니다

사진에서와 같이 이 작업을 한다고 올 4월부터 그 길 전체를 통제하였는지 ?

아런 공정현황이 거의 반년 넘어 할 작업은 분명 아니라고 봅니다, 그전에 이 부분만, 공사 현장위로 임시 육교나 그 몇 미터 구간만 우회로를
설치 하던지 해서 , 계속 블루라인 파크 옆 바닷가 산책로를 이용할수 있어야 한다고 봅니다.

푯말에는 11월 중순부터 다시 차단한다 하고, 지금 11월 말입니다.. 진행사항 아무것도 안보이는것 같습니다.

이러다간 공사가 한 몇년 갈것 같네요.. .

현재 있는 다릿돌 전망대 확장공사는 그구간을 차단안하고 하던데 ..

새로 설치 하는 전망대 전망대는 , 필요성에 대해서 공감도 전혀 안되고, 왜 그 몇십미터 안되는 구간때문에 거의 절반을 차단하고

문텐로드로 우회를 하는 불편을 격어야 하는지 모르겠습니다..

앞에서 말했듯이 그 새전망대 공사 구간에 임시로 통과하는 육교나 ,, 그 구간 몇십미터만 우회할수 있는

우회로를 만들고 재 차단은 안했으면 합니다..

※ 첨부파일 :
20231125_105521.jpg
20231125_105353.jpg
20231125_110341.jpg","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “미포~청사포 그린레일웨이 데크길 차단 관련 문의”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 귀하께서 건의하신 미포~청사포 그린레일웨이 데크길 구간은 우리구에서 시행중인 해상전망대를 설치하는 「해운대~송정해수욕장간 연안정비사업」구간으로, 해상전망대-데크길 연결부 옹벽을 설치하기 위해 데크길 전폭을 들어내어 보행자의 안전을 위해 차단되었었으며, 현재 임시통행로가 설치되어 09:00 ~ 18:00까지 이용이 가능함을 알려드립니다.
나. 전망대를 옹벽에 거치하기 위하여 23년 12월 9일부터 24년 1월 31일까지 차단될 예정이며, 2024년 2월중으로 24시간 데크길 사용이 가능할 것으로 보입니다. 해상공사는 파고 및 풍속에 따라 공사가 지연될 수 있어 정확한 일정을 알려드리지 못한 점 양해하여 주시기 바랍니다.
다. 통행에 불편을 드려 죄송하오며 조속한 시일 내에 공사를 마무리하여 차단기간을 최소화하기 위해 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 해양진흥과 양세용 주무관(☏051-749-4662)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
해운대 블루라인 파크 철도옆 산책길 차단에 대해서 -- 다시 차단한다고 하니,2023-11-24,답변완료,문화관광경제국 해양진흥과,"수고하십니다
해운대 블루라인 파크 철도옆 산책길(해운대 - 송정 구간) 차단에 관해서 입니다.

이 산책길이 생긴후 , 많이 이용하고 있는 구민입니다. 그런데 아마 올해 4월인가부터 부터 전망대 공사를 한다고 차단하여 첨엔 8월 어느날 일인가
개통을 한다고 하였는데.. 그 개통이, 9월달 그리고 또 10월 30일로 연기 개통되었고.. 그것도 일부 시간에만..

솔직히 안에 들어가보니 지금 해놓은 공사가 근 반년을 차단을 하고 한 진도인지 정말 의심스러웠습니다, 공사 자체가 진행이 안되고 있는것 같더군요.
임시로 설치해논 전망대 설치 예정 근처 통행로도 참 조잡하기 짝이 없었고.. 근데 요즈음 가보니 다시 차단을 한다고 되어 있더군요 (11월 중순 ~ 12월 말까지)

지금 이공사가 제대로 진행이 되고는 있는것입니까.. 새로 설치되는 전망대도 다릿돌 전망대가 있는데 굳이 또 설치하는 이유도 모르겠네요
공사 진행 사항 설명 부탁드립니다.. 재차단 하면 정확한 날짜를 구민들에게 제시 해주시고요 , (11월 중순 ~ 12월말) 변동가능 이라고 쓰여 있더군요 .

실컷 좋은 환경 꾸며 놓고,, 자꾸 이러니 안타까워서 민원을 했습니다.. 앞서 말씀 드렸듯이 근 반년의 차단인데,,
공사 현장의 진도는 정말 말도 안되는것 같습니다 설명부탁 드립니다

공사든 뭐든 계획을 좀 정확히 짜서,","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “미포~청사포 그린레일웨이 데크길 차단 관련 문의”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 귀하께서 건의하신 미포~청사포 그린레일웨이 데크길 구간은 우리구에서 시행중인 해상전망대를 설치하는 「해운대~송정해수욕장간 연안정비사업」구간으로, 해상전망대-데크길 연결부 옹벽을 설치하기 위해 데크길 전폭을 들어내어 보행자의 안전을 위해 차단되었었으며, 현재 임시통행로가 설치되어 09:00 ~ 18:00까지 이용이 가능함을 알려드립니다.
나. 전망대를 옹벽에 거치하기 위하여 23년 12월 9일부터 24년 1월 31일까지 차단될 예정이며, 2024년 2월중으로 24시간 데크길 사용이 가능할 것으로 보입니다. 해상공사는 파고 및 풍속에 따라 공사가 지연될 수 있어 정확한 일정을 알려드리지 못한 점 양해하여 주시기 바랍니다.
다. 통행에 불편을 드려 죄송하오며 조속한 시일 내에 공사를 마무리하여 차단기간을 최소화하기 위해 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 해양진흥과 양세용 주무관(☏051-749-4662)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
장시간 공회전 단속 요청건,2023-11-23,답변완료,교통환경국 환경위생과,"1. 귀 청의 무궁한 발전을 기원합니다.
2. 대천로 67번길 43-18(동원듀크빌리지아파트 3단지)에 인접한 외국인 학교 학생들의 통학을 위해 대기하고 있는
차량들이 장시간 공회전을 하고 있습니다.
이로 인해 당 아파트 3단지 입주민들께서 차량 소음과 분진으로 많은 고통을 겪고 있습니다.
3. 차량 주정차 단속 및 계도(공회전 금지 현수막 설치)를 요청 드립니다.끝","1. 귀하의 환경보전을 위한 관심과 노력에 감사드립니다.
2. 귀하의 민원내용은 공회전 차량 발견 계도 등 필요한 조치 요청으로 판단되며, 해당 내용에 대하여 다음과 같이 알려드립니다.
가. 우리 구에서는 공회전 제한 집중 점검으로 현장 단속을 실시하고 있으며, 귀하께서 요청하신 지역도 지도·단속 할 수 있도록 하겠습니다. 또한, 향후 공회전 차량 번호를 확인할 수 있는 자료를 보내주시면 「대기환경보전법」 제59조(공회전의 제한) 및 부산광역시 자동차 배출가스 저감에 관한 조례에 따라 차량 소유자에게 공회전 제한을 안내하는 등 필요한 조치를 하도록 하겠습니다.
나. 아울러, 통학 차량에 대한 공회전 제한 안내 및 홍보 등이 이루어질 수 있도록 해당 학교에 민원사항을 전달하여 인근 주민들의 불편사항이 해소될 수 있도록 노력하겠습니다.
3. 기타 궁금하신 점이 있으시면 해운대구 환경위생과(☎749-4391)로 전화주시면 성실히 답변 드리겠습니다. 감사합니다. 끝.


-------------------------------------------------------------------------------------------------------------
[협조부서] : 교통환경국 주차행정과 [답변일자] : 2023-11-29 09:40:50
[작성자] : 이도욱 [전화번호] : 051-749-4565 [이메일] : leedw1@mail.go.kr
[답변내용] :
1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은, 좌동 1369(동원듀크빌리지 3단지 앞) 도로상 주정차행위 근절을 위한, 교통안전 현수막 게첨 요청으로 판단됩니다.
3. 빠른 시일 내 해당 현장 확인하여, 상기 내용에 대한 수용 여부 검토 및 관련 행정조치 이뤄질 수 있도록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 주차행정과 주무관 이도욱(☏051-749-4565)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년11월28일-a0-민원상담목록번호312996."
학원 차량들의 불법주정차,2023-11-23,답변완료,교통환경국 주차행정과,"학원 차량들의 불법주차로 유턴차량들의 사고 유발?

※ 첨부파일 :
20231123_165045.jpg","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 우동 1411(마린파크빌딩 인접 마린시티2로 구간) 도로상 주정차 중인 통학차량 등에 의한 교통불편으로 판단됩니다.
3. 요청하신 민원사항을 현장단속반에 전달하여 11.24. 상기 구간 내 주정차량 7여 대에 대한 행정계도 및 이동조치 완료하였습니다.
4. 해당 구간은 현장단속반이 수시로 순찰하는 구간으로서, 순찰 횟수를 상향 조정하고 단속 대상 차량에 대해서는 가감 없는 단속처분 이뤄질 수 있도록 하겠습니다.
5. 추가로 횡단보도(인도) 및 교차로모퉁이 등 6대 주정차 금지구역 내 주정차량의 경우, 안전신문고(주민신고제) 어플리케이션을 통한 신고 시, 해당 차량에 대한 과태료 부과가 가능한 점 안내 드립니다.
※해운대구 불법주정차 주민신고제 안내: https:www.haeundae.go.krindex.do?menuCd=DOM_000000102005006004
6. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 주차행정과 주무관 이도욱(☏051-749-4565)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년11월28일-a0-민원상담목록번호313079.
2. 20231123165045."
보행자통로(인도)설치 요청건,2023-11-23,답변완료,도시안전국 도시관리과,"1. 귀 청의 무궁한 발전을 기원합니다.
2. 당 아파트 3단지(대천로 67번길 43-18) 진입로 주변으로 보행자 통로가 설치되어 있지 않습니다.
3단지 진입로 도로는 이면 도로이지만 인접한 외국인 학교 방문 차량과 각 종 차량 통행이 빈번한 곳으로
우리 입주민이나 방문객 특히 어린 학생들의 통학시 이동로가 도로밖에 없어 보행안전이 심각한 위험상황에 노출되어 있습니다.
어린 자녀를 두신 주민들의 염려와 불안이 큽니다.
3. 3단지 이면도로변으로 보행자 안전 통로를 설치,개설하여 주시길 간곡히 요청드립니다.끝

※ 첨부파일 :
■ 동원듀크빌리지 3단지 도로쪽 보행자 통로 개설 ■2.zip
■ 동원듀크빌리지 3단지 도로쪽 보행자 통로 개설 ■.zip","1. 항상 구정발전에 관심을 가져주시는 귀하께 감사드립니다.
2. 귀하의 민원내용은 “ 좌동 1366-1번지 일원 보도설치 요청”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 우리 구는 안전한 보행환경 조성을 위해 힘쓰고 있으며, 도로 노후 정도, 구 재정여건 등을 종합적으로 검토하여 예산확보 등을 통해 순차적으로 정비를 실시하고 있습니다.
나. 건의하신 도로의 폭은 6m로 보도 설치 시 차량 운행을 위한 각 차로의 최소 폭이 확보되지 못하여 현지 여건상 보도 설치는 어려운 실정임을 알려드리니 양지하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며 추가 설명이 필요할 경우 해운대구 도시관리과 (☎051-749-4681)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년12월1일-a0-민원상담목록번호312990.
2. ■ 동원듀크빌리지 3단지 도로쪽 보행자 통로 개설 ■.
3. ■ 동원듀크빌리지 3단지 도로쪽 보행자 통로 개설 ■2. 끝."
해운대에 쥐가 많이 나옵니다.,2023-11-23,답변완료,보건소 보건정책과,"해운대에 예전보다 쥐가 더 많이 출몰하고 있습니다.
구청에서 직접 행동하거나 아니면 자연적으로 해결하게 고양이 먹이주는 행위를 단속하여 고양이가 사냥에 적극적으로
하도록 만들거나 어떻게든 해결해주세요","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ‘쥐 방역 요청’에 관한 것으로 판단됩니다.
3. 귀하께서 요청하신 장소 및 주위에 대하여 11월 28일(화) 방역 소독을 실시하였으며, 지속적인 방역소독으로 불편해소를 위하여 노력하겠습니다.
4. 우리 보건소에서는 감염병 매개체인 해충위주의 방역소독을 진행하고 있으며 쥐약 등을 살포했을 경우 2차적인 문제(반려동물, 길고양이 등 사체)발생이 우려됨을 양지해주시기 바랍니다.
5. 구정발전을 위하여 의견 주심에 감사드리며, 향후 해충이 지속하여 대량 발생하거나 기타 문의사항이 있으시면 해운대구보건소 방역소독콜센터(051-749-0745)로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 2023년11월29일-a0-민원상담목록번호313021 1부. 끝."
버스안내전광판을 설치 해주세요,2023-11-22,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시
 * 이송(추천)사유 : 귀 기관 업무에 해당되어 이송합니다.(버스안내시스템 관련)

[담당자:손재호, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.",롯데3차 아파트와 부흥초 사이에 있는 버스정류장에 버스안내전광판을 설치 해주세요. 맞은편 동부아파트 앞에도 있는데 롯데아파트 앞에만 없어서 불편합니다. 버스를 타고 다니는 초등아이가 매번 버스가 언제 올지 몰라 계속 엄마한테 전화를 합니다. 꼭 설치 해주세요.,없음
반여농산물도매시장 교차로 유턴구간 불법주정차 단속해주세요,2023-11-22,답변완료,교통환경국 주차행정과,"반여농산물도매시장 교차로 유턴구간 불법주정차 단속해주세요
오늘도 불버주차된 차들 피해 유턴하다가 접촉사고가 났습니다.
그 구간은 견인표지판까지 있는데 지속적으로 단속해서 불법주정차된 차들 강력하게 단속 요청합니다","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 석대동 471-2 일원, 교차로상 유턴구간 일대, 불법주정차량에 의한 교통불편으로 판단됩니다.
3. 요청하신 민원사항을 현장단속반에 전달하여, 11.24. 상기 구간 내 불법주정차량 4대에 대한 단속처분 완료하였습니다.
상기 구간은 현장단속반이 수시로 순찰하는 구간으로서, 지속적인 관심과 현장관리를 통해 동일한 불편이 최소화될 수 있도록 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 주차행정과 주무관 이도욱(☏051-749-4565)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년11월28일-a0-민원상담목록번호312855."
요가원 계약서 미교부 신고,2023-11-21,답변완료,문화관광경제국 일자리경제과,"2. 재차 말씀드리자면 계약서 교부에 관한 사안은 방문판매업 담당자가 방문판매법 제30조제1항이 포함되어 있는지 확인 후 해당 사업자가 수강생에게 계약서를 교부를 권고할 예정입니다.

위와 같이 답변해 주셨는데. 아래 순서대로 질문 드립니다.

1. 예정은 할 수도 있고 안 할 수도 있다 이 말씀 아니신가요?
2. 언제까지 어떻게 교부를 권고하실건가요?","1. 귀하의 상담민원에 대해 아래와 같이 답변 드립니다.

2. 귀하의 민원사항은 방문판매 등에 관한 법률 제30조 제2항 규정에 따라 해당 업체 에서 계약서를 2023.11.30.자로 발급하기로 하였음을 알려드립니다.

3. 기타 문의사항은 해운대구청 일자리경제과 T. 749-4471 주시면 성심껏 답변 드리겠습니다. 감사합니다.


붙임 1. 2023년11월22일-a0-민원상담목록번호312610."
우신골든스위트 지하1층 주차장법 위반에 대한 이행강제금을 부과하여 주십시오,2023-11-20,답변완료,교통환경국 주차행정과,"사진첨부2

※ 첨부파일 :
20231118_123159.jpg",귀하께서 건의하신 상담민원에 대해서는 앞서 답변을 드렸사오니 참고해 주시기 바랍니다. 감사합니다. 끝.
(주)금택(중동 1013-1외 1필지)내 폐건축물(폐쿤크리트) 불법 매립 진정,2023-11-20,답변완료,문화관광경제국 자원순환과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202307251729148078 선행민원상세조회","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 중동 1013-1번지 신축공사 현장의 건설폐기물 처리 관련 문의로 판단됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 해당 현장은 2023.6.8.~2024.2.25.까지 건설 폐기물 처리 계획 신고를 하였으며,
나. 2023.11.15일자 사진의 폐콘크리트는 건설폐기물의 재활용촉진에 관한 법률 제19조제1항에 따른 전자정보처리프로그램을 통해 건설폐기물 반출을 확인하 였음을 알려드립니다.
다. 또한 공사안전 및 「국도건설공사 설계실무 요령」등 관련 건설기준 등에 따라 필요에 의해 철거 또는 굴착되지 않은 구조물은 폐기물 관련 법령의 적용을 받지 않으므로,
라. 해당 부분이 기존 건축물의 일부인지 여부 및 구조물의 존치 여부에 대해서는 소관부서인 건축과의 답변을 참고 하시기 바랍니다.

4. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 자원순환과 안혜정 주무관(☎ 051-749-4465)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

--------------------------------------------------------------------
[협조부서] : 도시안전국 건축과 [답변일자] : 2023-11-22 13:17:07
[작성자] : 이관웅 [전화번호] : 051-749-4594 [이메일] : rhksdnddl@korea.kr
[답변내용] :
1. 평소 구정 발전에 도움을 주신데 대하여 감사드립니다.
2. 안녕하십니까? 귀하께서 안전신문고를 통해 신청하신 민원내용은 우리 구 중동 1013-1번지 상 일부 기존 토류판 등 흙막이 재사용 등에 관한 민원으로 이해되며, 검토결과를 다음과 같이 알려드립니다.
가. 해당 건축공사 상 일부 기존 토류판 등 흙막이 재사용 사항의 경우 허용기준에 만족되어 구조안전상 확보에는 문제가 없다는 토질 및 기초 기술사에 검토 받아 공사 진행 중임을 알려드립니다.

나. 참고적으로, 중동 1013-1번지 당초 해체공사의 경우 법원의 강제집행 명령으로 법원 관할 하에 해체공사가 진행된 바 있으며, 해당 대지 상 콘크리트 잔재물 매립과 관련하여는 해체관할 기관(부산지방법원)에 별도 질의 및 건설 폐기물 관리 소관부서(자원순환과) 답변을 참고하시기 바랍니다.
3. 기타 건축관련 궁금하신 사항은 우리 구 건축과 이관웅 주무관(☎749-4594)에게 문의하시기 바라며, 앞으로도 구정발전에 많은 관심과 협조 부탁드립니다. 감사합니다.



붙임 1. 2023년12월5일-a0-민원상담목록번호312394.
2. 해운대 민원청구자료. 끝."
우신골든스위트 지하1층 주차장법 위반에 대한 이행강제금을 부과하여 주십시요,2023-11-20,답변완료,교통환경국 주차행정과,"2023.11.11 목록번호 310795와 관련입니다.
우신골든스위트 운영위원회에서 여전히 지하1층 주차장의 사용을 방해하고 있습니다.
주차를 못하니까 불법주차를 할 수 밖에 없습니다.

1. 첨부 내용증명과 같이 주차장을 폐쇄하는 행위를 하는 자는 우신골든스위트 운영위원회임이 확실하오니
주차방해행위가 반복되지 않도록 이행강제금을 부과하여 주시기 바랍니다.

2. 첨부 사진은 2023.11.18(토) 12시30분에 촬영한 사진입니다. 주차방해행위가 계속 반복되고 있습니다.
이러면 주차장 이용자는 불법주차를 할 수 밖에 없습니다.
방관하지 마시고 처벌하여 주시기 바랍니다.

※ 첨부파일 :
20231120 내용증명.jpg","1. 먼저 부설주차장 폐쇄로 불편을 겪고 계신 사항에 대해서는 충분히 공감됩니다.

2. 앞서 답변드렸듯이 부설주차장의 관리책임이 있는 자는 시설물의 이용자가 주차장을 이용하는 데에 지장이 없도록 주차장 본래의 기능을 유지하여야 하며, 정당한 사유없이 부설주차장 출입구를 폐쇄(주차장 기능미유지)하는 것은 주차장법 위반으로 시정명령 등 행정처분 대상입니다.

3. 따라서, 우리 구에서는 우신골든스위트 운영위원회와 관리사무소, ㈜우신종합건설(기존 상가 관리)측과 적극적으로 논의하여 주차장 문제가 해결될 수 있도록 노력하겠으며, 부설주차장 폐쇄 문제가 해결되지 않을 시에는 관리 책임자에게 시정명령 등 행정처분토록 하겠습니다.

4. 다시 한 번 불편을 겪고 계신 점에 대해서는 안타깝게 생각하며, 추가로 궁금하신 사항이 있으시면 주차행정과(☎749-4884)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 1. 민원상담 1부.
2. 내용증명 1부. 끝."
